02/05/2021 at 07:20下午 ET,388.1,388.1,388.09,388.09,200
02/05/2021 at 07:30下午 ET,388.07,388.12,388.01,388.03,12358
02/05/2021 at 07:40下午 ET,388.08,388.17,388.08,388.15,1941
02/05/2021 at 07:50下午 ET,388.1,388.3,388.1,388.19,4638
02/07/2021 at 08:00下午 ET,388.3,389.48,388.21,389.48,1281
02/07/2021 at 08:10下午 ET,389.47,389.58,389.47,389.55,374
02/07/2021 at 08:20下午 ET,389.58,389.9,389.34,389.34,13
02/07/2021 at 08:30下午 ET,389.84,389.84,389.84,389.84,5
02/07/2021 at 08:40下午 ET,389.5,389.8,389.5,389.65,327
02/07/2021 at 08:50下午 ET,389.71,389.72,389.56,389.64,932
02/07/2021 at 09:00下午 ET,389.55,389.55,389.55,389.55,1
02/07/2021 at 09:20下午 ET,389.69,389.7,389.69,389.7,21
02/07/2021 at 09:40下午 ET,389.7,389.7,389.7,389.7,30
02/07/2021 at 09:50下午 ET,389.7,389.7,389.7,389.7,25
02/07/2021 at 10:00下午 ET,389.67,389.67,389.67,389.67,1
02/07/2021 at 10:10下午 ET,389.69,389.77,389.69,389.77,245
02/07/2021 at 10:20下午 ET,389.72,389.78,389.71,389.71,57
02/07/2021 at 10:30下午 ET,389.74,389.74,389.71,389.72,229
02/07/2021 at 10:40下午 ET,389.72,389.72,389.72,389.72,73
02/07/2021 at 10:50下午 ET,389.71,389.71,389.71,389.71,1
02/07/2021 at 11:00下午 ET,389.75,389.75,389.69,389.69,21
02/07/2021 at 11:20下午 ET,389.58,389.58,389.5,389.5,1035
02/07/2021 at 11:40下午 ET,389.75,389.75,389.33,389.33,31
02/07/2021 at 11:50下午 ET,389.26,389.26,389.26,389.26,6
02/08/2021 at 01:40上午 ET,389.5,389.5,389.5,389.5,100
02/08/2021 at 01:50上午 ET,389.8,389.8,389.8,389.8,46
02/08/2021 at 02:00上午 ET,389.26,389.26,389.26,389.26,20
02/08/2021 at 02:20上午 ET,389.26,389.55,389.26,389.55,52
02/08/2021 at 02:30上午 ET,389.26,389.26,389.23,389.23,140
02/08/2021 at 03:00上午 ET,389.23,389.23,389.23,389.23,23
02/08/2021 at 03:10上午 ET,389.1,389.15,388.68,389.15,589
02/08/2021 at 03:20上午 ET,388.75,388.75,388.75,388.75,20
02/08/2021 at 03:40上午 ET,388.75,388.75,388.49,388.49,744
02/08/2021 at 04:00上午 ET,388.63,388.76,388.54,388.75,12439
02/08/2021 at 04:10上午 ET,388.79,388.81,388.71,388.74,10716
02/08/2021 at 04:20上午 ET,388.72,388.72,388.44,388.44,9400
02/08/2021 at 04:30上午 ET,388.39,388.63,388.31,388.55,17050
02/08/2021 at 04:40上午 ET,388.58,388.83,388.58,388.83,2493
02/08/2021 at 04:50上午 ET,388.79,388.88,388.74,388.75,1780
02/08/2021 at 05:00上午 ET,388.76,388.79,388.72,388.79,800
02/08/2021 at 05:10上午 ET,388.74,388.74,388.64,388.66,1050
02/08/2021 at 05:20上午 ET,388.79,388.79,388.68,388.68,1535
02/08/2021 at 05:30上午 ET,388.64,388.64,388.52,388.52,14190
02/08/2021 at 05:40上午 ET,388.54,388.54,388.48,388.53,1505
02/08/2021 at 05:50上午 ET,388.56,388.61,388.5,388.58,5400
02/08/2021 at 06:00上午 ET,388.61,388.62,388.5,388.59,1401
02/08/2021 at 06:10上午 ET,388.59,389.06,388.55,389.06,6480
02/08/2021 at 06:20上午 ET,389.01,389.07,389.0,389.0,6854
02/08/2021 at 06:30上午 ET,388.99,389.08,388.99,389.02,16182
02/08/2021 at 06:40上午 ET,388.96,389.05,388.96,389.04,21627
02/08/2021 at 06:50上午 ET,388.99,389.04,388.98,389.04,4965
02/08/2021 at 07:00上午 ET,388.98,389.04,388.82,388.88,12771
02/08/2021 at 07:10上午 ET,388.88,388.97,388.85,388.92,7124
