02/05/2021 at 07:00上午 ET,388.11,388.12,387.9,387.999,88811
02/05/2021 at 07:30上午 ET,387.97,387.98,387.72,387.8,52328
02/05/2021 at 08:00上午 ET,387.8,387.89,387.52,387.75,105396
02/05/2021 at 08:30上午 ET,387.55,387.97,387.35,387.55,205495
02/05/2021 at 09:00上午 ET,387.7,388.26,386.19,388.24,410017
02/05/2021 at 09:30上午 ET,388.21,388.29,387.042,387.14,4335112
02/05/2021 at 10:00上午 ET,387.15,387.42,386.485,387.155,3330405
02/05/2021 at 10:30上午 ET,387.15,387.98,387.11,387.695,2293143
02/05/2021 at 11:00上午 ET,387.69,387.855,387.11,387.35,1717468
02/05/2021 at 11:30上午 ET,387.3519,387.78,387.2913,387.32,1361345
02/05/2021 at 12:00下午 ET,387.315,387.91,387.18,387.87,1006228
02/05/2021 at 12:30下午 ET,387.87,388.46,387.78,388.4378,1469071
02/05/2021 at 01:00下午 ET,388.4396,388.47,387.98,388.05,1219401
02/05/2021 at 01:30下午 ET,388.05,388.1099,387.563,387.5854,1277945
02/05/2021 at 02:00下午 ET,387.5978,387.91,387.41,387.85,1258237
02/05/2021 at 02:30下午 ET,387.8425,388.03,387.32,387.51,1311471
02/05/2021 at 03:00下午 ET,387.52,387.71,387.19,387.21,2189532
02/05/2021 at 03:30下午 ET,387.21,387.81,387.18,387.68,5590137
02/05/2021 at 04:00下午 ET,387.67,388.1,387.58,388.03,3348223
02/05/2021 at 04:30下午 ET,388.01,388.15,387.94,388.07,318893
02/05/2021 at 05:00下午 ET,388.04,388.06,387.75,388.02,104664
02/05/2021 at 05:30下午 ET,388.02,388.2,387.7,388.0,78373
02/05/2021 at 06:00下午 ET,388.03,388.11,388.0,388.1,3542
02/05/2021 at 06:30下午 ET,388.11,388.17,388.0,388.0,15492
02/05/2021 at 07:00下午 ET,388.08,388.17,388.02,388.09,4022
02/05/2021 at 07:30下午 ET,388.07,388.3,388.01,388.19,18937
02/07/2021 at 08:00下午 ET,388.3,389.9,388.21,389.34,1668
02/07/2021 at 08:30下午 ET,389.84,389.84,389.5,389.64,1264
02/07/2021 at 09:00下午 ET,389.55,389.7,389.55,389.7,22
02/07/2021 at 09:30下午 ET,389.7,389.7,389.7,389.7,55
02/07/2021 at 10:00下午 ET,389.67,389.78,389.67,389.71,303
02/07/2021 at 10:30下午 ET,389.74,389.74,389.71,389.71,303
02/07/2021 at 11:00下午 ET,389.75,389.75,389.5,389.5,1056
02/07/2021 at 11:30下午 ET,389.75,389.75,389.26,389.26,37
02/08/2021 at 01:30上午 ET,389.5,389.8,389.5,389.8,146
02/08/2021 at 02:00上午 ET,389.26,389.55,389.26,389.55,72
02/08/2021 at 02:30上午 ET,389.26,389.26,389.23,389.23,140
02/08/2021 at 03:00上午 ET,389.23,389.23,388.68,388.75,632
02/08/2021 at 03:30上午 ET,388.75,388.75,388.49,388.49,744
02/08/2021 at 04:00上午 ET,388.63,388.81,388.44,388.44,32555
02/08/2021 at 04:30上午 ET,388.39,388.88,388.31,388.75,21323
02/08/2021 at 05:00上午 ET,388.76,388.79,388.64,388.68,3385
02/08/2021 at 05:30上午 ET,388.64,388.64,388.48,388.58,21095
02/08/2021 at 06:00上午 ET,388.61,389.07,388.5,389.0,14735
02/08/2021 at 06:30上午 ET,388.99,389.08,388.96,389.04,42774
02/08/2021 at 07:00上午 ET,388.98,389.04,388.82,388.9,29121
02/08/2021 at 07:30上午 ET,388.93,389.06,388.73,389.05,37290
02/08/2021 at 08:00上午 ET,388.98,389.27,388.9,389.2,39658
02/08/2021 at 08:30上午 ET,389.16,389.28,389.05,389.2,66484
02/08/2021 at 09:00上午 ET,389.23,389.46,389.18,389.3,100501
02/08/2021 at 09:30上午 ET,389.27,389.82,389.1,389.63,3693408
02/08/2021 at 10:00上午 ET,389.6399,389.87,389.24,389.525,2037165
02/08/2021 at 10:30上午 ET,389.53,389.95,389.333,389.55,1861123
02/08/2021 at 11:00上午 ET,389.55,389.6399,388.9,389.125,1675205
02/08/2021 at 11:30上午 ET,389.127,389.18,388.35,388.891,2258606
02/08/2021 at 12:00下午 ET,388.91,389.38,388.91,389.295,1232680
02/08/2021 at 12:30下午 ET,389.2911,389.31,388.91,389.03,1038467
02/08/2021 at 01:00下午 ET,389.03,389.17,388.82,389.04,980219
02/08/2021 at 01:30下午 ET,389.045,389.31,388.59,388.8,1935772
02/08/2021 at 02:00下午 ET,388.805,389.17,388.77,389.02,1185724
02/08/2021 at 02:30下午 ET,389.015,389.35,388.82,389.33,999521
02/08/2021 at 03:00下午 ET,389.32,389.55,389.24,389.53,1554162
02/08/2021 at 03:30下午 ET,389.52,390.54,389.4,390.53,4861797
02/08/2021 at 04:00下午 ET,390.545,390.62,390.29,390.41,2075623
02/08/2021 at 04:30下午 ET,390.44,390.75,390.43,390.65,194600
02/08/2021 at 05:00下午 ET,390.65,390.75,390.56,390.56,77470
02/08/2021 at 05:30下午 ET,390.6,390.69,390.55,390.66,34392
02/08/2021 at 06:00下午 ET,390.69,390.9,390.35,390.37,150675
02/08/2021 at 06:30下午 ET,390.39,390.59,390.35,390.59,53649
02/08/2021 at 07:00下午 ET,390.51,390.57,390.09,390.13,61733
02/08/2021 at 07:30下午 ET,390.12,390.69,390.11,390.5,194465
02/08/2021 at 08:00下午 ET,390.65,390.65,390.15,390.35,1024
02/08/2021 at 08:30下午 ET,390.2,390.8,390.2,390.8,710
02/08/2021 at 09:00下午 ET,390.8,390.8,390.55,390.66,212
02/08/2021 at 09:30下午 ET,390.77,390.77,390.58,390.58,522
02/08/2021 at 10:00下午 ET,390.58,390.58,390.58,390.58,18
02/08/2021 at 10:30下午 ET,390.45,390.52,390.45,390.45,410
02/08/2021 at 11:00下午 ET,390.45,390.45,390.17,390.17,201
02/08/2021 at 11:30下午 ET,390.33,390.57,390.33,390.57,126
02/09/2021 at 12:00上午 ET,390.51,390.51,390.51,390.51,91
02/09/2021 at 12:30上午 ET,390.53,390.54,390.53,390.54,30
02/09/2021 at 01:00上午 ET,390.55,390.55,390.55,390.55,20
02/09/2021 at 01:30上午 ET,390.58,390.58,390.58,390.58,1
02/09/2021 at 02:30上午 ET,390.52,390.52,390.47,390.47,2
02/09/2021 at 03:30上午 ET,390.44,390.52,390.44,390.44,560
02/09/2021 at 04:00上午 ET,390.28,390.33,389.88,390.17,21804
02/09/2021 at 04:30上午 ET,390.12,390.15,389.95,390.15,11395
02/09/2021 at 05:00上午 ET,390.18,390.2,390.09,390.09,6057
02/09/2021 at 05:30上午 ET,390.16,390.16,389.93,389.93,6236
02/09/2021 at 06:00上午 ET,389.83,389.84,389.49,389.73,56591
02/09/2021 at 06:30上午 ET,389.8,390.06,389.78,390.01,15032
